ISIN,FundName,Category,StarRating,Star_3Y,Rank_3Y,Star_5Y,Rank_5Y,Star_10Y,Rank_10Y,YearsUsed,MRAR2_3Y,MRAR2_5Y,MRAR2_10Y,MonthsAvailable
INF767K01535,LIC_MF_Banking_and_PSU_Fund-Regular_Plan-Growth,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,54,3.0,54.0,3.0,13.0,10y+5y+3y,0.02198902554549953,0.004898468185616345,0.016875605145175276,120
INF194K015G8,Bandhan_Banking_and_PSU_Fund_-_Direct_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,42,4.0,27.0,,,5y+3y,0.02389453417470877,0.0101289132073199,,119
INF209K01LV0,Aditya_Birla_Sun_Life_Banking_and_PSU_Debt_Fund_-_Regular_Plan-Growth,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,48,4.0,39.0,4.0,7.0,10y+5y+3y,0.02296060301009195,0.008626948312549176,0.023606377702815706,120
INF903J01LY4,Sundaram_Banking_and_PSU_Fund_Formerly_Known_as_Sundaram_Banking_and_PSU_Debt_Fund_Regular_Plan_-_Bo,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,26,4.0,40.0,,,5y+3y,0.025695825264110184,0.008542692710914679,,113
INF917K01HL7,HSBC_Banking_and_PSU_Debt_Fund_-_Direct_Daily_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,1,2,132,1.0,138.0,,,5y+3y,-0.04674123143268305,-0.09858548107207721,,68
INF677K01AE7,HSBC_Banking_and_PSU_Debt_Fund_-_Regular_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,3,4,20,3.0,50.0,,,5y+3y,0.025953678518405132,0.0072146102874628415,,114
INF109K01RT3,ICICI_Prudential_Banking_and_PSU_Debt_Fund_-_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,30,4.0,16.0,4.0,5.0,10y+5y+3y,0.02543462167591204,0.01254796947802217,0.023669792400744516,120
INF209K01LT4,Aditya_Birla_Sun_Life_Banking_and_PSU_Debt_Fund_-_Retail_Plan-Growth,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,47,4.0,38.0,4.0,6.0,10y+5y+3y,0.022965734058422838,0.008630502897270631,0.023607345032213845,120
INF903J01RI4,Sundaram_Banking_and_PSU_Fund_Formerly_Known_as_Sundaram_Banking_and_PSU_Debt_Fund_Direct_Plan_-_Bon,Debt_Scheme_-_Banking_and_PSU_Fund,4,5,13,4.0,45.0,,,5y+3y,0.026319181433574146,0.008122178386071655,,112
INF179KA1IZ7,HDFC_Banking_and_PSU_Debt_Fund_-_Growth_Option_-_Direct_Plan,Debt_Scheme_-_Banking_and_PSU_Fund,4,5,5,4.0,17.0,,,5y+3y,0.027179843355014777,0.012324960529491946,,118
INF846K01CW6,Axis_Banking_and_PSU_Debt_Fund_-_Direct_Plan_-_Weekly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,137,2.0,108.0,,,5y+3y,-0.047016099770344044,-0.04704926592953573,,119
INF917K01HM5,HSBC_Banking_and_PSU_Debt_Fund_-_Regular_Weekly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,2,1,152,2.0,122.0,,,5y+3y,-0.06188889163929767,-0.05227677566272482,,98
INF174K01FP0,Kotak_Banking_and_PSU_Debt_-_Monthly_Payout_of_Income_Distribution_cum_capital_withdrawal_option,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,68,3.0,62.0,,,5y+3y,0.01704505188514771,-0.011793775231536019,,109
INF843K01FP0,Edelweiss_Banking_and_PSU_Debt_Fund_-_Regular_Plan_Monthly_-_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,1,1,145,1.0,132.0,,,5y+3y,-0.048128360087652866,-0.06144271338606544,,96
INF740K01A26,DSP_Banking_and_PSU_Debt_Fund_-_Direct_Plan_-_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,1,2,108,1.0,129.0,,,5y+3y,-0.039098361107264834,-0.05719717035654859,,117
INF204KA1T56,Nippon_India_Banking_and_PSU_Fund-_Growth_Plan-_Growth_Option,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,49,4.0,42.0,,,5y+3y,0.02254722887635041,0.008340947030220924,,116
INF789FA1U95,UTI_Banking_and_PSU_Fund_-_Direct_Plan_-_Half-Yearly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,5,4,23,5.0,9.0,,,5y+3y,0.025774346158567107,0.01373910441612991,,101
INF194K014M9,Bandhan_Banking_and_PSU_Fund_-_Regular_Quarterly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,99,3.0,80.0,,,5y+3y,-0.03679125904484837,-0.04080165923514378,,118
INF0GCD01107,TRUSTMF_BANKING_and_PSU_FUND_-_DIRECT_GROWTH,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,29,,,,,3y,0.025539574379863206,,,58
INF200K01V24,SBI_Banking_and_PSU_Fund_-_Direct_Plan_-_Weekly_Income_Distribution_cum_Capital_Withdrawal_Option_ID,Debt_Scheme_-_Banking_and_PSU_Fund,4,5,16,4.0,36.0,3.0,15.0,10y+5y+3y,0.026222883087587023,0.008932973052679705,-0.008991656404636172,120
INF740KA1OI1,DSP_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_IDCW_-_Daily_Reinvest,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,126,2.0,104.0,,,5y+3y,-0.04629881202588326,-0.04654775744495998,,65
INF843K01FF1,Edelweiss_Banking_and_PSU_Debt_Fund_-_Direct_Plan_weekly_-_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,2,1,144,2.0,111.0,,,5y+3y,-0.047806756102142245,-0.047226603340761786,,111
INF204KA1U46,NIPPON_INDIA_BANKING_and_PSU_FUND_-_MONTHLY_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,3,2,116,3.0,89.0,,,5y+3y,-0.04329112765316234,-0.0430336091565261,,102
INF843K01FE4,Edelweiss_Banking_and_PSU_Debt_Fund_-_Direct_Plan_-_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,2,3,104,2.0,117.0,,,5y+3y,-0.03819687069857225,-0.049144173390429535,,93
INF090I01KT4,Franklin_India_Banking_and_PSU_Debt_Fund_-_Direct_-_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,92,3.0,93.0,,,5y+3y,-0.026827379948317742,-0.04363793798134474,,115
INF204KA1V45,NIPPON_INDIA_BANKING_and_PSU_FUND_-_Direct_Plan_-_MONTHLY_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,3,2,114,3.0,92.0,,,5y+3y,-0.0430092687005903,-0.0435825220277718,,106
INF204KA1U61,Nippon_India_Banking_and_PSU_Fund-_Direct_Plan-Growth_Plan-_Bonus_Option,Debt_Scheme_-_Banking_and_PSU_Fund,5,5,9,5.0,14.0,,,5y+3y,0.026577772334566596,0.012791517471021363,,117
INF205K01JX8,Invesco_India_Banking_and_PSU_Fund_-_Regular_Plan_-_Daily_IDCW_Reinvestment,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,91,3.0,75.0,,,5y+3y,-0.026483009725421836,-0.038389734474038595,,97
INF677K01AJ6,HSBC_Banking_and_PSU_Debt_Fund_-_Regular_Monthly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,1,1,155,1.0,127.0,,,5y+3y,-0.06589839435941935,-0.05456844831024865,,103
INF194K017G4,Bandhan_Banking_and_PSU_Fund_-_Direct_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,4,21,3.0,61.0,,,5y+3y,0.025882288764778938,-0.007724190249001617,,116
INF179KA1JE0,HDFC_Banking_and_PSU_Debt_Fund_-_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,130,2.0,118.0,,,5y+3y,-0.0465653739743811,-0.04935298150899192,,95
INF109K01II5,ICICI_Prudential_Banking_and_PSU_Debt_Fund_Retail_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,67,,,,,3y,0.01840579634374162,,,52
INF0GCD01131,TRUSTMF_BANKING_and_PSU_FUND_DIRECT_PLAN_MONTHLY_INCOME_DISTRIBUTION_CUM_CAPITAL_WITHDRAWAL_OPTION,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,73,,,,,3y,-0.005733738268842714,,,58
INF760K01KC4,Canara_Robeco_Banking_and_PSU_Debt_Fund-_Direct_Plan-_Growth_Option,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,25,,,,,3y,0.025730671811430295,,,38
INF917K01HH5,HSBC_Banking_and_PSU_Debt_Fund_-_Direct_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,31,4.0,41.0,,,5y+3y,0.025421708497692652,0.00841529932488605,,117
INF740KA1OF7,DSP_Banking_and_PSU_Debt_Fund_-_Direct_Plan_-_IDCW_-_Daily_Reinvest,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,125,2.0,99.0,,,5y+3y,-0.04628945289676012,-0.045596877457588225,,64
INF0GCD01040,TRUSTMF_BANKING_and_PSU_FUND_REGULAR_PLAN_MONTHLY_INCOME_DISTRIBUTION_CUM_CAPITAL_WITHDRAWAL,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,77,,,,,3y,-0.01037803704978868,,,58
INF0GCD01032,TRUSTMF_BANKING_and_PSU_FUND_REGULAR_PLAN_WEEKLY_INCOME_DISTRIBUTION_CUM_CAPITAL_WITHDRAWAL,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,81,,,,,3y,-0.015469236247079965,,,58
INF0GCD01123,TRUSTMF_BANKING_and_PSU_FUND_DIRECT_PLAN_WEEKLY_INCOME_DISTRIBUTION_CUM_CAPITAL_WITHDRAWAL,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,78,,,,,3y,-0.01070329831475536,,,58
INF174K01KL9,Kotak_Banking_and_PSU_Debt_Direct_-_Monthly_Payout_of_Income_Distribution_cum_capital_withdrawal_opt,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,142,2.0,124.0,,,5y+3y,-0.04722185419538627,-0.05259487529064488,,107
INF209K01LU2,Aditya_Birla_Sun_Life_Banking_and_PSU_Debt_Fund_-_REGULAR_-_MONTHLY_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,113,2.0,110.0,2.0,20.0,10y+5y+3y,-0.040890279379038996,-0.04717006944185842,-0.03953069657813901,120
INF194K016M4,Bandhan_Banking_and_PSU_Fund_-_Regular_Fortnightly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,2,127,3.0,81.0,,,5y+3y,-0.0465079968288844,-0.04122878813972686,,94
INF843K01FK1,Edelweiss_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_Growth_Option,Debt_Scheme_-_Banking_and_PSU_Fund,3,4,51,3.0,46.0,,,5y+3y,0.022512288184851625,0.007693500009166465,,119
INF204KA1V29,NIPPON_INDIA_BANKING_and_PSU_FUND_-_Direct_Plan_-_WEEKLY_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,123,2.0,95.0,,,5y+3y,-0.046011254419392134,-0.04422471802025418,,97
INF200K01U41,SBI_BANKING_and_PSU_FUND_-_Regular_Paln_-_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,56,3.0,56.0,3.0,10.0,10y+5y+3y,0.021676645056644794,0.004365207389575021,0.018741539909802096,120
INF194K012D2,Bandhan_Banking_and_PSU_Fund_-_Regular_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,62,3.0,63.0,,,5y+3y,0.02096469209154539,-0.012573805993925324,,118
INF740K01ZV4,DSP_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,2,3,98,1.0,128.0,,,5y+3y,-0.03666049398924287,-0.05675434612925645,,115
INF903J01IN3,Sundaram_Banking_and_PSU_Fund_Formerly_Known_as_Sundaram_Banking_and_PSU_Debt_Fund_Regular_Plan_-_Gr,Debt_Scheme_-_Banking_and_PSU_Fund,3,4,40,3.0,52.0,,,5y+3y,0.024072272832336594,0.006764485533728548,,119
INF205K01JV2,Invesco_India_Banking_and_PSU_Fund_-_Regular_Plan_-_Growth_Option,Debt_Scheme_-_Banking_and_PSU_Fund,3,4,52,3.0,58.0,3.0,14.0,10y+5y+3y,0.022434900093715404,0.0018244923763053311,0.014001400854690926,120
INF209K01YO8,Aditya_Birla_Sun_Life_Banking_and_PSU_Debt_Fund_-_Direct_-_Quarterly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,2,1,158,1.0,133.0,2.0,21.0,10y+5y+3y,-0.06901846344916451,-0.0637591136229152,-0.04807228646430073,120
INF194KA1JC5,Bandhan_Banking_and_PSU_Fund_-_Regular_Daily_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,88,,,,,3y,-0.022435267456978658,,,50
INF205K01KT4,Invesco_India_Banking_and_PSU_Fund_-_Direct_Plan_-_Growth_Option,Debt_Scheme_-_Banking_and_PSU_Fund,3,4,19,3.0,53.0,3.0,11.0,10y+5y+3y,0.02599252331955859,0.005603069328213195,0.018062098227777268,120
INF903J01IP8,Sundaram_Banking_and_PSU_Fund_Formerly_Known_as_Sundaram_Banking_and_PSU_Debt_Fund_Regular_Plan_-_Da,Debt_Scheme_-_Banking_and_PSU_Fund,3,2,117,3.0,86.0,,,5y+3y,-0.043508772550033936,-0.042089507765698086,,67
INF846K01CC8,Axis_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_Daily_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,2,136,3.0,84.0,,,5y+3y,-0.04692287023917041,-0.041804994679702445,,74
INF194K011N3,Bandhan_Banking_and_PSU_Fund_-_Direct_Monthly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,2,134,3.0,78.0,,,5y+3y,-0.0468065326714181,-0.04056132021055103,,75
INF209K01LS6,Aditya_Birla_Sun_Life_Banking_and_PSU_Debt_Fund_-_retail_-_quarterly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,1,1,159,1.0,136.0,1.0,23.0,10y+5y+3y,-0.07153915132769206,-0.06657386978356972,-0.05101092720240896,120
INF209K01LR8,Aditya_Birla_Sun_Life_Banking_and_PSU_Debt_Fund_-_retail_-_monthly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,2,3,105,2.0,100.0,2.0,19.0,10y+5y+3y,-0.03836176430692395,-0.04567136935609295,-0.038854722099735284,120
INF174K01FO3,Kotak_Banking_and_PSU_Debt_-_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,39,4.0,28.0,,,5y+3y,0.02418066653052442,0.009890761359652389,,118
INF846K01CB0,Axis_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_Growth_option,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,59,3.0,47.0,3.0,9.0,10y+5y+3y,0.021565128249640297,0.007655095599509387,0.021375298903095974,120
INF740K01ZP6,DSP_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,38,4.0,21.0,,,5y+3y,0.02423473402326004,0.011661166567445536,,117
INF200K01U90,SBI_Banking_and_PSU_Fund_-_Regular_Plan_-_Monthly_Income_Distribution_cum_Capital_Withdrawal_Option_,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,80,3.0,72.0,,,5y+3y,-0.014516656287046681,-0.03618370995168574,,119
INF769K01FW3,Mirae_Asset_Banking_and_PSU_Fund_-_Regular_plan_-_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,4,3,60,4.0,32.0,,,5y+3y,0.021444142522381027,0.009129803875986386,,61
INF740K01ZR2,DSP_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_IDCW_-_Monthly,Debt_Scheme_-_Banking_and_PSU_Fund,3,2,112,3.0,94.0,,,5y+3y,-0.040880484295678254,-0.04389813275563603,,98
INF843K01FG9,Edelweiss_Banking_and_PSU_Debt_Fund_-_Direct_Plan_Fortnightly_-_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,1,1,153,1.0,130.0,,,5y+3y,-0.06214406223832236,-0.059138987662350484,,63
INF903J01IM5,Sundaram_Banking_and_PSU_Fund_Formerly_Known_as_Sundaram_Banking_and_PSU_Debt_Fund_Retail_Plan_-_Mon,Debt_Scheme_-_Banking_and_PSU_Fund,3,2,121,3.0,70.0,,,5y+3y,-0.045767331245637144,-0.0350793245743668,,85
INF200K01V16,SBI_Banking_and_PSU_Fund_-_Direct_Plan_-_Daily_Income_Distribution_cum_Capital_Withdrawal_Option_IDC,Debt_Scheme_-_Banking_and_PSU_Fund,4,5,14,4.0,34.0,,,5y+3y,0.02622451244773072,0.0089368805043879,,115
INF789FA1V37,UTI_Banking_and_PSU_Fund_-_Direct_Plan_-_Flexi_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,5,4,22,5.0,2.0,,,5y+3y,0.025776397067592605,0.021655628279820816,,117
INF090I01KR8,Franklin_India_Banking_and_PSU_Debt_Fund_-_Direct_-_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,5,5,2,5.0,4.0,,,5y+3y,0.029062994750936433,0.016985543035269446,,116
INF194KA1JD3,Bandhan_Banking_and_PSU_Fund_-_Direct_Daily_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,94,,,,,3y,-0.0354376558948728,,,51
INF200K01V08,SBI_BANKING_and_PSU_FUND_-_Direct_Plan_-_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,4,5,15,4.0,35.0,4.0,4.0,10y+5y+3y,0.026223350588264305,0.008936343421378057,0.023761255693589778,120
INF00XX01853,ITI_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,65,3.0,48.0,,,5y+3y,0.01887276349122713,0.007425275405782639,,62
INF204KA1U87,NIPPON_INDIA_BANKING_and_PSU_FUND_-_Direct_Plan_-_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,4,5,10,4.0,15.0,,,5y+3y,0.026575334729419087,0.012669656110835481,,117
INF789F014Z9,UTI_Banking_and_PSU_Fund-_Regular_Plan_-_Growth_Option,Debt_Scheme_-_Banking_and_PSU_Fund,5,4,46,5.0,3.0,,,5y+3y,0.023003734880338467,0.019254602749428917,,118
INF209K01YM2,Aditya_Birla_Sun_Life_Banking_and_PSU_Debt_Fund_-_DIRECT_-_MONTHLY_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,2,3,97,2.0,96.0,,,5y+3y,-0.03600538654146013,-0.04463865717530635,,119
INF846K01CE4,Axis_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_Weekly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,138,2.0,109.0,,,5y+3y,-0.04703224993796473,-0.04707129691501,,119
INF204KA1U04,NIPPON_INDIA_BANKING_and_PSU_FUND_-_QUARTERLY_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,115,2.0,113.0,,,5y+3y,-0.04315560710111144,-0.04796405509504331,,118
INF843K01FM7,Edelweiss_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,1,2,119,1.0,126.0,,,5y+3y,-0.04504791495110427,-0.05433372623868382,,117
INF194K017M2,Bandhan_Banking_and_PSU_Fund_-_Regular_Monthly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,2,122,3.0,74.0,,,5y+3y,-0.04597881112659519,-0.03740751612170634,,65
INF789FA1U38,UTI_Banking_and_PSU_Fund_-_Regular_Plan_-_Half-Yearly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,44,4.0,22.0,,,5y+3y,0.023120611697506455,0.011335901257090164,,113
INF789FA1U53,UTI_Banking_and_PSU_Fund_-_Regular_Plan_-_Annual_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,89,3.0,65.0,,,5y+3y,-0.024259748247306145,-0.0185132480526764,,106
INF0GCD01172,TRUSTMF_BANKING_and_PSU_FUND_DIRECT_PLAN_ANNUAL_INCOME_DISTRIBUTION_CUM_CAPITAL_WITHDRAWAL_OPTION,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,74,,,,,3y,-0.007690174127433891,,,58
INF767K01527,LIC_MF_Banking_and_PSU_Fund-Regular_Plan-Daily_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,86,3.0,66.0,,,5y+3y,-0.020889079668066968,-0.023197301952162408,,64
INF194K018M0,Bandhan_Banking_and_PSU_Fund_-_Direct_Quarterly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,106,3.0,85.0,,,5y+3y,-0.038756942625769786,-0.04205560121848928,,117
INF789F015Z6,UTI_Banking_and_PSU_Fund_-_Direct_Plan_-_Growth_Option,Debt_Scheme_-_Banking_and_PSU_Fund,5,4,28,5.0,1.0,,,5y+3y,0.02560995149886036,0.021666482510714014,,117
INF903J01PA5,Sundaram_Banking_and_PSU_Fund_Formerly_Known_as_Sundaram_Banking_and_PSU_Debt_Fund_Direct_Plan_-_Gro,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,32,4.0,44.0,3.0,12.0,10y+5y+3y,0.02541408978807569,0.008254817322883579,0.017106195666490187,120
INF846K01CG9,Axis_Banking_and_PSU_Debt_Fund_-_Regular_Plan_-_Monthly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,139,2.0,105.0,,,5y+3y,-0.04703978500598616,-0.046765842184633755,,117
INF767K01GI4,LIC_MF_Banking_and_PSU_Fund-Direct_Plan-Growth,Debt_Scheme_-_Banking_and_PSU_Fund,4,5,6,4.0,25.0,4.0,8.0,10y+5y+3y,0.027083680693627432,0.010187890283410495,0.022701929872485094,120
INF789FA1V11,UTI_Banking_and_PSU_Fund_-_Direct_Plan_-_Annual_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,85,3.0,64.0,,,5y+3y,-0.02082480430870204,-0.015735528612250804,,107
INF174K01KH7,Kotak_Banking_and_PSU_Debt_Direct_-_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,5,5,4,5.0,7.0,,,5y+3y,0.02829633225472361,0.013964031638852736,,119
INF209K01LN7,Aditya_Birla_Sun_Life_Banking_and_PSU_Debt_Fund_-_REGULAR_-_Quarterly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,1,1,156,1.0,134.0,1.0,22.0,10y+5y+3y,-0.06704113099496178,-0.06386018205173827,-0.049631515602815535,120
INF194K01SN6,Bandhan_Banking_and_PSU_Fund_-_Regular_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,63,3.0,51.0,,,5y+3y,0.02074034896099919,0.00701681713585578,,118
INF767K01GN4,LIC_MF_Banking_and_PSU_Fund-Direct_Plan-Monthly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,4,5,8,4.0,26.0,,,5y+3y,0.027011884262220454,0.010154571171306248,,95
INF00XX01861,ITI_Banking_and_PSU_Debt_Fund_-_Direct_Plan_-_Growth_Option,Debt_Scheme_-_Banking_and_PSU_Fund,5,4,34,5.0,12.0,,,5y+3y,0.024652518507632948,0.013041421309217593,,62
INF109K012A2,ICICI_Prudential_Banking_and_PSU_Debt_Fund_-_Direct_Plan_-_Quarterly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,101,3.0,77.0,,,5y+3y,-0.03732700375194864,-0.04041003442359414,,119
INF090I01KO5,Franklin_India_Banking_and_PSU_Debt_Fund_-_Growth,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,37,4.0,31.0,,,5y+3y,0.024249371756118743,0.009350502889516443,,115
INF109K01YD3,ICICI_Prudential_Banking_and_PSU_Debt_Fund_-_Quarterly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,103,3.0,79.0,,,5y+3y,-0.03779375442144095,-0.04059983996560934,,116
INF205K01KV0,Invesco_India_Banking_and_PSU_Fund_-_Direct_Plan_-_Monthly_IDCW_Payout___Reinvestment,Debt_Scheme_-_Banking_and_PSU_Fund,2,2,131,2.0,106.0,,,5y+3y,-0.046631986058943364,-0.0468903520971069,,118
INF843K01FO3,Edelweiss_Banking_and_PSU_Debt_Fund_-_Regular_Plan_Fortnightly_-_IDCW_Option,Debt_Scheme_-_Banking_and_PSU_Fund,1,1,154,1.0,131.0,,,5y+3y,-0.06347069052629317,-0.0608923879115536,,67
INF109KA1B57,ICICI_Prudential_Banking_and_PSU_Debt_Fund_-_Bonus,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,24,,,,,3y,0.02574854621412892,,,50
INF0GCD01115,TRUSTMF_BANKING_and_PSU_FUND_DIRECT_PLAN_DAILY_INCOME_DISTRIBUTION_CUM_CAPITAL_WITHDRAWAL,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,55,,,,,3y,0.021780560170048036,,,58
INF0GCD01016,TRUSTMF_BANKING_and_PSU_FUND_-_REGULAR_GROWTH,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,64,,,,,3y,0.020445808811752286,,,58
INF200K01U58,SBI_Banking_and_PSU_Fund_-_Regular_Plan_-_Daily_Income_Distribution_cum_Capital_Withdrawal_Option_ID,Debt_Scheme_-_Banking_and_PSU_Fund,3,3,57,3.0,55.0,,,5y+3y,0.021674044865442887,0.00436874707717072,,113
INF789F013Z1,UTI_Banking_and_PSU_Fund_-_Regular_Plan_-_Quarterly_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,41,4.0,30.0,,,5y+3y,0.023985237232516887,0.009678844023693456,,116
INF846K01CU0,Axis_Banking_and_PSU_Debt_Fund_-_Direct_Plan_-_Daily_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,3,2,120,3.0,82.0,,,5y+3y,-0.04562223493213069,-0.041233167805772464,,72
INF194K015M6,Bandhan_Banking_and_PSU_Fund_-_Regular_Annual_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,2,3,107,2.0,121.0,,,5y+3y,-0.03878637097359805,-0.0518714001525209,,111
INF789FA1U79,UTI_Banking_and_PSU_Fund_-_Regular_Plan_-_Flexi_IDCW,Debt_Scheme_-_Banking_and_PSU_Fund,4,4,45,4.0,29.0,,,5y+3y,0.023080637289002448,0.009731704905832528,,108
